material_number,customer_description,manufacturer,confidence,cand1_code,cand1_score,cand1_desc,cand2_code,cand2_score,cand2_desc,cand3_code,cand3_score,cand3_desc,cand4_code,cand4_score,cand4_desc,cand5_code,cand5_score,cand5_desc
10052631,"BAG,SCAFFOLD,100KG",Sparrows Services Australia Pty Ltd,low,WL-100-C-250M,43.2,Sisal Rope,WL-120-C-250M,37.8,Sisal Rope,WL-140-C-250M,37.8,Sisal Rope,WL-160-C-250M,37.8,Sisal Rope,WL-180-C-250M,37.8,Sisal Rope
10052652,"HOIST,LIFT,LEVER,0.8T,C/W O/L LIMITER",KITO ARMATUREN / VITAL INDUSTRIES,medium,WRB-0050-M10-CP-RLP,66.8,Learn More,WEB-0030-M08-R-VRSF,65.3,VRBS Weld-on Eye Plate,WEB-0040-M10-R-VRSF,64.8,VRBS Weld-on Eye Plate,WRB-0063-M08-CP-VLBGP,64.8,VRBS Weld-on Eye Plate,WRB-0090-M10-CP-VLBGP,64.8,VRBS Weld-on Eye Plate
10052653,"HOIST,LIFT,LEVER,1.6T,C/W O/L LIMITER",KITO ARMATUREN / VITAL INDUSTRIES,medium,WRL-0160-FW-T-DPLP,67.4,Weld-on Pad Eyes - DPLP,WEN-200-M-250P-S,64.7,Eyenuts - Metric - Grade 4,WRB-0180-M16-LB-DLP,64.7,Learn More,WEB-200-M-250P-S-WLL,64.2,Eyebolts - Metric - Grade 4,WEB-190-B-S-WLL,63.2,Eyebolts - Imperial - Grade 4
10052654,"HOIST,LIFT,LEVER,3.2T,C/W O/L LIMITER",KITO ARMATUREN / VITAL INDUSTRIES,medium,WMAL-100-G-SKO,69.0,Master Link SKO - Open,WMAL-100-G-SKG,67.5,Master Link SKG - Closed,WTB-T-200-EE-G-GDES,62.8,,WTB-T-200-JE-G-GDES,62.8,,WTB-T-200-JJ-G-GDES,62.8,
10052660,"DRUM,LIFTER,WEBBING RATCHET",SPANSET,low,WLDB-100-R-GH-G100,53.3,Load Binders - Ratchet,WLDB-130-R-GH-G100,53.3,Load Binders - Ratchet,WMAG-092-0100-BV,52.5,Magnetic Lifters,WMAG-166-0300-BV,52.5,Magnetic Lifters,WMAG-228-0600-BV,52.5,Magnetic Lifters
10052663,"BLOCK,SNATCH,8T,200MM",CROSBY VALVES,high,WSNB-08T-275-S-BS-BV,90.7,Snatch Block with Shackle Head,WSNB-0640-203-WR-SB-C,75.3,Snatch Blocks,WSNB-02T-115-S-BS-BV,72.7,Snatch Block with Shackle Head,WSNB-04T-210-S-BS-BV,72.7,Snatch Block with Shackle Head,WSNB-06T-275-S-BS-BV,72.7,Snatch Block with Shackle Head
10052664,"BLOCK,SNATCH,4T,4.5IN",CROSBY VALVES,high,WSNB-04T-210-S-BS-BV,98.0,Snatch Block with Shackle Head,WSNB-0320-114-WR-SB-C,73.2,Snatch Blocks,WSNB-02T-115-S-BS-BV,72.7,Snatch Block with Shackle Head,WSNB-06T-275-S-BS-BV,72.7,Snatch Block with Shackle Head,WSNB-08T-275-S-BS-BV,72.7,Snatch Block with Shackle Head
10052665,"BLOCK,SNATCH,8T,6IN",CROSBY VALVES,high,WSNB-08T-275-S-BS-BV,95.4,Snatch Block with Shackle Head,WSNB-02T-115-S-BS-BV,77.4,Snatch Block with Shackle Head,WSNB-04T-210-S-BS-BV,77.4,Snatch Block with Shackle Head,WSNB-06T-275-S-BS-BV,77.4,Snatch Block with Shackle Head,WSNB-10T-250-S-BS-BV,77.4,Snatch Block with Shackle Head
10052667,"SLING,CHAIN,2 LEGGED,10MM,5.5T X 2M",GUNNEBO,high,WMAL-10/08-G-MFX,87.5,Master Links - Type MFX,WCUP-RS-130-G-SKR,82.2,Round Sling Connector SKR,WSLH-CP-130-G-SKN,82.2,Sling Hook SKN - Grade 80,WBBS-130-G-SKLIASSY,77.5,Swivel Assembly - Grade 80,WHFL-130-G-SKT,77.0,Half Link SKT - Grade 80
10052668,"SLING,CHAIN,2 LEGGED,10MM,5.5T X 5M",GUNNEBO,high,WMAL-10/08-G-MFX,87.5,Master Links - Type MFX,WCUP-RS-130-G-SKR,82.2,Round Sling Connector SKR,WSLH-CP-130-G-SKN,82.2,Sling Hook SKN - Grade 80,WBBS-130-G-SKLIASSY,77.5,Swivel Assembly - Grade 80,WHFL-130-G-SKT,77.0,Half Link SKT - Grade 80
